label,ranks,dims_x,dims_y,mode,kernel,global_w,global_h,steps,trial,t_total,t_halo,t_kernel,t_io,synthetic
ksweep_naive_256,1,1,1,gpu,naive,256,256,500,3,0.000154,0.000000,0.000150,0.000000,1
ksweep_shared_256,1,1,1,gpu,shared,256,256,500,1,0.000125,0.000000,0.000126,0.000000,1
ksweep_shared_256,1,1,1,gpu,shared,256,256,500,2,0.000123,0.000000,0.000124,0.000000,1
ksweep_shared_256,1,1,1,gpu,shared,256,256,500,3,0.000128,0.000000,0.000124,0.000000,1
ksweep_naive_1024,1,1,1,gpu,naive,1024,1024,500,1,0.002302,0.000000,0.002478,0.000000,1
ksweep_naive_1024,1,1,1,gpu,naive,1024,1024,500,2,0.002302,0.000000,0.002338,0.000000,1
ksweep_naive_1024,1,1,1,gpu,naive,1024,1024,500,3,0.002456,0.000000,0.002358,0.000000,1
ksweep_shared_1024,1,1,1,gpu,shared,1024,1024,500,1,0.002074,0.000000,0.002038,0.000000,1
ksweep_shared_1024,1,1,1,gpu,shared,1024,1024,500,2,0.002044,0.000000,0.002071,0.000000,1
ksweep_shared_1024,1,1,1,gpu,shared,1024,1024,500,3,0.002046,0.000000,0.001961,0.000000,1
ksweep_naive_4096,1,1,1,gpu,naive,4096,4096,500,1,0.036931,0.000000,0.037436,0.000000,1
ksweep_naive_4096,1,1,1,gpu,naive,4096,4096,500,2,0.038794,0.000000,0.038540,0.000000,1
ksweep_naive_4096,1,1,1,gpu,naive,4096,4096,500,3,0.038095,0.000000,0.039186,0.000000,1
ksweep_shared_4096,1,1,1,gpu,shared,4096,4096,500,1,0.032116,0.000000,0.031030,0.000000,1
ksweep_shared_4096,1,1,1,gpu,shared,4096,4096,500,2,0.032668,0.000000,0.032937,0.000000,1
ksweep_shared_4096,1,1,1,gpu,shared,4096,4096,500,3,0.032127,0.000000,0.031216,0.000000,1
ksweep_naive_16384,1,1,1,gpu,naive,16384,16384,500,1,0.629795,0.000000,0.626411,0.000000,1
ksweep_naive_16384,1,1,1,gpu,naive,16384,16384,500,2,0.592905,0.000000,0.600722,0.000000,1
ksweep_naive_16384,1,1,1,gpu,naive,16384,16384,500,3,0.624533,0.000000,0.629551,0.000000,1
ksweep_shared_16384,1,1,1,gpu,shared,16384,16384,500,1,0.506658,0.000000,0.528603,0.000000,1
ksweep_shared_16384,1,1,1,gpu,shared,16384,16384,500,2,0.513145,0.000000,0.502729,0.000000,1
ksweep_shared_16384,1,1,1,gpu,shared,16384,16384,500,3,0.532098,0.000000,0.529871,0.000000,1
io_0,6,2,3,gpu,overlap,8192,8192,500,1,0.020815,0.010653,0.021248,0.000000,1
io_0,6,2,3,gpu,overlap,8192,8192,500,2,0.022160,0.010760,0.022073,0.000000,1
io_0,6,2,3,gpu,overlap,8192,8192,500,3,0.022135,0.010127,0.022178,0.000000,1
io_100,6,2,3,gpu,overlap,8192,8192,500,1,0.138399,0.010720,0.021469,0.118036,1
io_100,6,2,3,gpu,overlap,8192,8192,500,2,0.144887,0.010227,0.020716,0.116961,1
io_100,6,2,3,gpu,overlap,8192,8192,500,3,0.139598,0.010760,0.022342,0.117786,1
io_25,6,2,3,gpu,overlap,8192,8192,500,1,0.506931,0.010371,0.022366,0.481010,1
io_25,6,2,3,gpu,overlap,8192,8192,500,2,0.518871,0.010133,0.022348,0.467287,1
io_25,6,2,3,gpu,overlap,8192,8192,500,3,0.519805,0.010259,0.020862,0.477109,1
